Id,Date,Sexe,Age,Height,StudLvl,CarMoun,CarStraigh,CarFront,CarBack,CarRead,valid1,valid2,valid3,isvalid
s71,13/04/2022,Woman,26,170,None,2,0,2,2,3,0,1,1,2
s70,12/04/2022,Man,25,184,M2,2,1,1,2,2,1,1,1,3
s69,12/04/2022,Man,23,181,M2,1,0,0,1,2,0,1,0,1
s68,08/04/2022,Man,19,170,L1,,,,,,1,1,0,2
s67,07/04/2022,Man,30,165,None,,,,,,0,0,0,0
s66,07/04/2022,Man,21,179,L3,3,0,1,3,3,0,1,1,2
s65,04/01/2002,Woman,20,160,L2,,,,,,0,1,1,2
s64,06/04/2022,Woman,19,164,L2,,,,,,1,1,1,3
s63,05/04/2022,Man,21,177,L3,2,0,1,2,3,0,1,1,2
s62,05/04/2022,Man,30,176,None,1,0,0,1,1,1,1,1,3
s61,05/04/2022,Man,19,184,L2,,,,,,1,1,1,3
s60,05/04/2022,Woman,28,171,L2,2,2,2,1,3,0,0,0,0
s59,05/04/2022,Man,28,180,None,3,1,2,3,3,0,1,1,2
s58,04/04/2022,Man,24,181,L2,3,1,2,2,2,1,0,0,1
s57,04/04/2022,Man,28,169,None,0,0,0,0,2,1,0,0,1
s56,04/04/2022,Woman,19,167,L1,1,0,0,0,1,1,1,1,3
s55,01/04/2022,Man,20,182,L2,,,,,,1,1,1,3
s54,01/04/2022,Woman,20,155,L2,3,1,2,2,3,1,1,1,3
s53,01/04/2022,Woman,19,160,L1,0,0,0,0,1,1,1,1,3
s52,01/04/2022,Woman,23,170,M2,1,0,0,1,2,1,1,1,3
s51,01/04/2022,Woman,19,165,L1,3,2,1,3,3,1,1,1,3
s50,01/04/2022,Woman,19,169,L2,2,1,1,2,2,1,1,1,3
s49,31/03/2022,Man,19,174,L2,3,1,1,2,3,1,1,1,3
s48,31/03/2022,Woman,19,163,L2,,,,,,1,1,1,3
s47,31/03/2022,Woman,22,162,L2,3,1,1,3,2,1,1,1,3
s46,31/03/2022,Woman,20,160,L2,1,0,0,1,2,1,1,1,3
s45,31/03/2022,Woman,20,156,L2,2,0,1,2,2,1,1,1,3
s44,30/03/2022,Man,19,170,L1,1,1,0,1,1,1,1,1,3
s43,30/03/2022,Woman,20,158,L2,3,1,3,3,3,1,1,1,3
s42,29/03/2022,Man,21,160,L3,,,,,,1,1,1,3
s41,29/03/2022,Woman,18,162,L1,3,0,1,2,3,1,0,0,1
s40,29/03/2022,Man,19,175,L1,,,,,,1,1,1,3
s39,28/03/2022,Man,22,171,L3,1,0,0,1,2,0,1,1,2
s38,28/03/2022,Woman,18,165,L1,2,0,0,0,3,0,0,0,0
s37,28/03/2022,Woman,19,163,L1,1,0,0,2,2,1,1,1,3
s36,28/03/2022,Man,20,179,L2,2,1,1,1,2,0,1,0,1
s35,28/03/2022,Man,20,165,L2,2,1,1,1,2,0,0,0,0
s34,28/03/2022,Woman,20,168,L2,3,3,3,3,3,1,1,1,3
s33,28/03/2022,Woman,21,167,L1,,,,,,0,1,1,2
s32,25/03/2022,Man,19,170,L2,3,1,1,2,3,1,1,1,3
s31,25/03/2022,Man,28,176,None,,,,,,1,1,1,3
s30,25/03/2022,Woman,19,158,L2,,,,,,1,1,1,3
s29,25/03/2022,Man,18,170,L1,2,0,1,3,3,0,1,1,2
s28,25/03/2022,Woman,18,164,L1,2,0,0,2,2,1,1,1,3
s27,25/03/2022,Woman,19,168,L2,2,1,1,1,3,1,1,1,3
s26,24/03/2022,Woman,18,166,L1,1,0,0,1,1,0,1,1,2
s25,24/03/2022,Man,19,183,L1,1,0,1,1,3,1,0,0,1
s24,24/03/2022,Woman,18,167,L1,3,2,1,2,3,1,1,1,3
s23,24/03/2022,Man,22,152,L2,1,0,0,1,1,1,1,1,3
s22,24/03/2022,Woman,19,170,L1,3,0,1,3,3,0,1,1,2
s21,23/03/2022,Man,20,163,L2,2,1,2,2,3,0,0,0,0
s20,23/03/2022,Woman,20,155,L2,3,1,1,3,3,1,1,1,3
s19,22/03/2022,Woman,18,160,L1,1,1,1,2,3,1,1,1,3
s18,18/03/2022,Woman,19,156,L1,3,1,1,2,3,1,1,1,3
s17,18/03/2022,Man,19,168,L1,,,,,,0,0,0,0
s16,18/03/2022,Woman,18,163,L1,,,,,,1,1,1,3
s15,17/03/2022,Man,22,165,L2,2,1,1,2,3,1,1,1,3
s14,16/03/2022,Woman,19,174,L2,2,1,0,1,2,1,1,1,3
s13,16/03/2022,Woman,19,160,L2,0,0,0,0,1,1,1,1,3
s12,16/03/2022,Man,19,163,L2,,,,,,1,1,1,3
s11,16/03/2022,Woman,26,169,L2,3,1,2,3,3,1,1,1,3
s10,11/03/2022,Woman,23,164,M2,3,3,3,3,3,1,1,1,3
s09,11/03/2022,Man,22,165,L3,0,0,0,1,1,1,1,1,3
s08,11/09/2022,Man,19,160,L2,,,,,,0,0,0,0
s07,11/03/2022,Woman,20,158,L1,3,1,1,2,3,1,1,1,3
s06,10/03/2022,Woman,18,170,L1,3,2,2,3,3,1,1,1,3
s05,10/03/2022,Man,20,165,L2,,,,,,1,1,1,3
s04,10/03/2022,Woman,18,175,L1,3,2,2,3,3,0,1,1,2
s03,08/03/2022,Man,26,188,None,2,0,1,2,3,1,1,1,3
s02,15/02/2022,Man,22,171,None,2,1,1,2,3,1,1,1,3
s01,01/02/2022,Woman,25,169,None,1,0,0,1,1,1,1,1,3
